id,value,feed_id,created_at,lat,lon,ele
0G1D8R4KQB3V6WDQ26A30XQ1CJ,-78,3243843,2025-11-25 14:10:17 UTC,,,
0G1D8R5HNNPNPZCEPKQVW2XXGM,-74,3243843,2025-11-25 14:10:20 UTC,,,
0G1D8R6G3P5S7W0S0VP1JE4KEV,-76,3243843,2025-11-25 14:10:24 UTC,,,
0G1D8R7DAR6S22H3VXQQ85XQ6F,-68,3243843,2025-11-25 14:10:27 UTC,,,
0G1D8R8AHXHB8X5BJWTHCBDF3Z,-69,3243843,2025-11-25 14:10:30 UTC,,,
0G1D8R97VMFRWJE7DKZ2DSYAVD,-73,3243843,2025-11-25 14:10:33 UTC,,,
0G1D8RA63GJEW9XVVRC8QBSV3Y,-75,3243843,2025-11-25 14:10:36 UTC,,,
0G1D8S3MJ9HNM6PXDSNSP2QDVD,-78,3243843,2025-11-25 14:11:59 UTC,,,
0G1D8S4N2PAWBTH300665T2X45,-74,3243843,2025-11-25 14:12:02 UTC,,,
0G1D8S5J8529ZZ1P8V35RAVMQM,-84,3243843,2025-11-25 14:12:05 UTC,,,
0G1D8SMMGGC0JD2QWS958PF9GX,-72,3243843,2025-11-25 14:12:55 UTC,,,
0G1D8SV8ME70QRHJJYRP0P30WC,-77,3243843,2025-11-25 14:13:16 UTC,,,
0G1D8SWJKRETKKK5X46YP23G85,-73,3243843,2025-11-25 14:13:21 UTC,,,
0G1D8SXFWB7GTQQPX3K5J9Y13D,-73,3243843,2025-11-25 14:13:24 UTC,,,
0G1D8SYDNAHSHAM94937897AHJ,-75,3243843,2025-11-25 14:13:27 UTC,,,
0G1D8SZB2GG6FXPF098VCND9ST,-77,3243843,2025-11-25 14:13:30 UTC,,,
0G1D8T092TTP3SSYQ59VXRB8ZG,-76,3243843,2025-11-25 14:13:33 UTC,,,
0G1D8T1679JJG90Q2AGV6C7TQY,-76,3243843,2025-11-25 14:13:36 UTC,,,
0G1D8T23G736BP2Q8F3KVF2P6A,-76,3243843,2025-11-25 14:13:39 UTC,,,
0G1D8T30TB7Y1RQN9SKV3EBC5R,-75,3243843,2025-11-25 14:13:42 UTC,,,
0G1D8T3Y409R1H5DPMKM22CY96,-78,3243843,2025-11-25 14:13:45 UTC,,,
0G1D8T4VEDHA1NE5KK9S9VTG9C,-78,3243843,2025-11-25 14:13:48 UTC,,,
